app,prompt,contributor,techstack
Valuutanvaihtolaskuri,"Kehitä kattava valuuttamuunnin HTML5:n, CSS3:n, JavaScriptin ja luotettavan valuuttakurssi API:n avulla. Luo siisti, intuitiivinen käyttöliittymä, jossa on näkyvät syöttökentät ja valuutanvalitsimet. Toteuta reaaliaikaiset valuuttakurssit, joissa on aikaleimaindikaattorit, jotka osoittavat tietojen tuoreuden. Tue yli 170 globaalia valuuttaa, mukaan lukien kryptovaluutat, asianmukaisin symbolein ja muotoiluin. Ylläpidä muuntohistorialokia, joissa on aikaleimat ja kurssitiedot. Salli käyttäjien merkitä suosikkivaluuttaparit kirjanmerkkeihin nopeaa käyttöä varten. Luo interaktiivisia historiallisia kurssikaavioita mukautettavilla päivämääräväleillä. Toteuta offline-toiminnot käyttämällä välimuistiin tallennettuja valuuttakursseja, joissa on selkeät vanhentuneisuusindikaattorit. Lisää sisäänrakennettu laskin monimutkaisia muunnoksia ja aritmeettisia operaatioita varten. Luo kurssihälytyksiä tavoitevaihtokursseille valinnaisilla ilmoituksilla. Sisällytä eri palveluntarjoajien kurssien rinnakkaisvertailu, kun se on saatavilla. Tuetaan tulostusta ja muunnostulosten vientiä useissa eri muodoissa (PDF, CSV, JSON).",@f,"HTML,CSS,JavaScript,API"
Tiedostonkryptaustyökalu,"Luo asiakaspuolen tiedostojen salaustyökalu HTML5:n, CSS3:n ja JavaScriptin avulla Web Crypto API:n avulla. Rakenna raahaa ja pudota -käyttöliittymä tiedostojen valintaa varten edistymisindikaattoreilla. Toteuta AES-256-GCM-salaus, jossa avain johdetaan turvallisesti salasanoista (PBKDF2). Lisää tuki useiden tiedostojen salaamiselle samanaikaisesti eräkäsittelyn avulla. Sisältää salasanan vahvuuden valvonnan entropian laskennan avulla. Luo ladattavia salattuja tiedostoja mukautetulla tiedostopäätteellä. Luo salauksen purkuliittymä, jossa on salasanan tarkistus. Toteutetaan turvallinen muistinkäsittely ja arkaluonteisten tietojen automaattinen tyhjentäminen. Lisää yksityiskohtaisia lokitietoja salausoperaatioista tallentamatta arkaluonteisia tietoja. Sisällytä salausavainten vienti/tuonti asianmukaisin turvallisuusvaroituksin. Tuki suurille tiedostoille käyttämällä suoratoistosalausta ja paloiteltua käsittelyä.",@f,"HTML,CSS,JavaScript"
Koodinpätkien hallinta,"Rakenna HTML5:n, CSS3:n ja JavaScriptin avulla kehittäjäkeskeinen koodinpätkien hallintaohjelma. Luo puhdas IDE:n kaltainen käyttöliittymä, jossa on syntaksin korostus yli 30 ohjelmointikielelle. Toteuta merkintä- ja luokittelujärjestelmä koodinpätkien järjestämistä varten. Lisää tehokas hakutoiminto, joka tukee regexiä ja suodatusta kielen/tunnisteiden mukaan. Sisällytä koodin muokkaus rivinumeroiden, sisennysopasteiden ja sulkujen täsmäytyksen avulla. Tuetaan julkisia/yksityisiä näkyvyysasetuksia kullekin pätkälle. Toteutetaan vienti-/tuontitoiminnot JSON- ja Gist-muodoissa. Lisää pikanäppäimiä yleisimpiä toimintoja varten. Luo responsiivinen muotoilu, joka toimii hyvin kaikilla laitteilla. Sisällytä automaattinen tallennus ja versiohistoria. Lisätään kopiointitoiminnallisuus, jossa säilytetään syntaksin muotoilu.",@f,"HTML,CSS,JavaScript"
Budjettiseuranta,"Kehitä kattava budjettiseurantasovellus HTML5:n, CSS3:n ja JavaScriptin avulla. Luo intuitiivinen kojelauta, jossa näkyvät tulot, menot, säästöt ja budjetin tila. Toteuta tapahtumien hallinta luokkien, tunnisteiden ja toistuvien tapahtumien avulla. Lisää interaktiivisia kaavioita ja kaavioita menoanalyysiä varten luokittain ja ajanjaksoittain. Sisällytä budjetin tavoitteiden asettaminen, edistymisen seuranta ja hälytykset. Tukea useita tilejä ja siirtoja tilien välillä. Toteuta kuittien skannaus ja tallennus laitteen kameran avulla. Lisää vientitoiminnot raportteja varten CSV- ja PDF-muodossa. Luo responsiivinen muotoilu, jossa on mobiili ensin -lähestymistapa. Sisällytä tietojen varmuuskopiointi- ja palautustoiminto. Lisää ennustustoiminnot, joiden avulla voidaan ennustaa tulevaa taloudellista tilannetta nykyisten suuntausten perusteella.",@f,"HTML,CSS,JavaScript"
Reseptin etsijä,"Luo reseptinhakusovellus HTML5:n, CSS3:n, JavaScriptin ja ruoka-apin avulla. Rakenna visuaalisesti houkutteleva käyttöliittymä, jossa on ruokakuvia ja intuitiivinen navigointi. Toteuta edistynyt haku suodattamalla ainesosien, keittiön, ruokavalion rajoitusten ja valmistusaikojen mukaan. Lisää käyttäjien luokitukset ja arvostelut tähtijärjestelmän avulla. Sisällytä yksityiskohtaiset ravitsemustiedot, joissa on kalorien, makrojen ja allergeenien visuaaliset indikaattorit. Tukea reseptien tallentamista ja luokittelua kokoelmiin. Toteuta ateriasuunnittelukalenteri vedä ja pudota -toiminnolla. Lisää automaattinen annoskoon säätö ja määrän uudelleenlaskenta. Sisältää ruoanvalmistustilan, jossa on vaiheittaiset ohjeet ja ajastimet. Tuetaan tallennettujen reseptien offline-yhteyttä. Lisää suosikkireseptien sosiaalisen jakamisen toiminto.",@f,"HTML,CSS,JavaScript,API"
Kanban-taulu,"Rakenna Kanban-projektinhallintataulu HTML5:n, CSS3:n ja JavaScriptin avulla. Luo joustava taulun ulkoasu mukautettavilla sarakkeilla (Tehtävää, Käynnissä, Valmis jne.). Toteuta raahaa ja pudota korttien siirtely sarakkeiden välillä sulavilla animaatioilla. Lisää korttien luominen rikkaalla tekstin muotoilulla, tarroilla, eräpäivillä ja prioriteettitasoilla. Sisällytä käyttäjien määrittäminen avatareilla ja suodattaminen vastaanottajan mukaan. Toteuta korttien kommentit ja toimintohistoria. Lisää taulun mukauttaminen sarakkeiden uudelleenjärjestelyn ja väriteemojen avulla. Tukea useita tauluja nopealla vaihtamisella. Toteuta tietojen pysyvyys käyttämällä localStoragea ja vienti-/tuontitoimintoja. Luo responsiivinen muotoilu, joka mukautuu eri näytön kokoihin. Lisää pikanäppäimiä yleisiä toimintoja varten.",@f,"HTML,CSS,JavaScript"
Musiikkisoitin,"Kehitä web-pohjainen musiikkisoitin HTML5:n, CSS3:n ja JavaScriptin avulla Web Audio API:n avulla. Luo moderni käyttöliittymä, jossa on albumikuvaston näyttö ja visualisoinnit. Toteuta soittolistan hallinta vetämällä ja pudottamalla uudelleenjärjestäminen. Lisää ääniohjaimia, kuten toisto/tauko, hyppääminen, haku, äänenvoimakkuus ja toistonopeus. Sisällytä sekoitus- ja toistotilat visuaalisilla indikaattoreilla. Tuetaan useita ääniformaatteja ja varajärjestelyjä. Toteuta 10-kaistainen taajuuskorjain esiasetuksineen. Lisää metatietojen poiminta ja näyttäminen äänitiedostoista. Luo responsiivinen muotoilu, joka toimii kaikilla laitteilla. Sisällytä pikanäppäimet toiston hallintaan. Tuetaan taustatoistoa mediaistunnon API-integraation avulla.",@f,"HTML,CSS,JavaScript"
Piirustussovellus,"Luo interaktiivinen piirtosovellus HTML5 Canvasin, CSS3:n ja JavaScriptin avulla. Rakenna selkeä käyttöliittymä, jossa on intuitiivinen työkalujen valinta. Toteuta useita piirtotyökaluja, kuten sivellin, kynä, muotoja, tekstiä ja pyyhekumi. Lisää värien valinta viimeisimpien värien, värinvalitsimen ja palettien avulla. Sisällytä kerrostuki peittävyys- ja sekoitustilavaihtoehdoilla. Toteutetaan peruutus/toistotoiminnot historiatiloilla. Lisää kuvien tuonti ja vienti useissa eri muodoissa (PNG, JPG, SVG). Tuki kankaan koon muuttamiselle ja kiertämiselle. Toteutetaan zoomaus- ja panorointinavigointi. Lisää valintatyökaluja, joissa on siirto-, koko- ja muunnosominaisuudet. Sisällytetään pikanäppäimet yleisiä toimintoja varten.",@f,"HTML,CSS,JavaScript"
Meditaatioajastin,"Rakenna mindfulness-meditaatioajastin HTML5:n, CSS3:n ja JavaScriptin avulla. Luo seesteinen, häiriötön käyttöliittymä luonnon inspiroimalla suunnittelulla. Toteuta mukautettavia meditaatioistuntoja valmistelu-, meditaatio- ja lepoväleillä. Lisää ympäristön äänivaihtoehtoja, kuten luontoääniä, binauraalisia lyöntejä ja valkoista kohinaa. Sisällytä ohjattu meditaatio mukautettavilla äänikehotuksilla. Toteuta intervallikellot, joissa on äänenvoimakkuuden säätö ja äänen valinta. Lisää istuntohistoria ja tilastojen seuranta. Luo visuaalisia hengitysoppaita animaatioiden avulla. Tue offline-käyttöä PWA:na. Sisällytä pimeä tila ja useita teemoja. Lisää istuntojen aikataulutus muistutuksineen.",@f,"HTML,CSS,JavaScript"
Muistikorttien opintojärjestelmä,"Kehitä kattava opintokorttijärjestelmä HTML5:n, CSS3:n ja JavaScriptin avulla. Luo intuitiivinen käyttöliittymä korttien luomista ja tarkistamista varten. Toteuta toistovälialgoritmi optimoitua oppimista varten. Lisää tuki tekstille, kuville ja äänelle korteissa. Sisällytä korttien luokittelu pakoilla ja tunnisteilla. Toteuta opintojaksot suorituskyvyn seurannalla. Lisää itsearviointi luottamustasoilla. Luo tilastojen kojelauta, joka näyttää oppimisen edistymisen. Tukea korttipakkojen tuontia/vientiä vakiomuodoissa. Toteuta pikanäppäimet tehokasta tarkastelua varten. Lisää pimeä tila ja muokattavat teemat.",@f,"HTML,CSS,JavaScript"
Tottumusten jäljitin,"Luo tavanseurantasovellus HTML5:n, CSS3:n ja JavaScriptin avulla. Rakenna siisti käyttöliittymä, jossa näkyvät päivittäiset, viikoittaiset ja kuukausittaiset näkymät. Toteuta tapojen luominen taajuudella, muistutuksilla ja tavoitteilla. Lisää raitojen seuranta visuaalisilla indikaattoreilla ja virstanpylväsjuhlilla. Sisällytä yksityiskohtaiset tilastot ja edistymiskaaviot. Tue tavan luokkia ja tunnisteita organisointia varten. Toteuta kalenteriintegraatio aikataulutusta varten. Lisää tietojen visualisointi, joka näyttää kuvioita ja trendejä. Luo responsiivinen muotoilu kaikille laitteille. Sisällytä tietojen vienti- ja varmuuskopiointitoiminnot. Lisää pelillistämiselementtejä saavutuksilla ja palkinnoilla.",@f,"HTML,CSS,JavaScript"
Tekstianalysaattori,"Rakenna kattava tekstianalyysityökalu HTML5:n, CSS3:n ja JavaScriptin avulla. Luo siisti käyttöliittymä, jossa on tekstinsyöttöalue ja tulosten kojelauta. Toteuta sanojen ja merkkien laskenta sekä lukuaika-arviointi. Lisää luettavuuspisteytys käyttäen useita algoritmeja (Flesch-Kincaid, SMOG, Coleman-Liau). Sisällytä avainsanatiheysanalyysi ja visualisointi. Toteutetaan sentimenttianalyysi tunnesävyjen tunnistuksella. Lisätään kieliopin ja oikeinkirjoituksen tarkistus ehdotuksineen. Sisällytetään tekstivertailutoiminto samankaltaisuuden havaitsemista varten. Tuetaan useita kieliä automaattisella tunnistuksella. Lisätään vientitoiminto analyysiraportteja varten. Tekstin muotoilu- ja puhdistustyökalut.",@f,"HTML,CSS,JavaScript"
Kuvankäsittelyohjelma,"Kehitä verkkopohjainen kuvankäsittelyohjelma HTML5 Canvasin, CSS3:n ja JavaScriptin avulla. Luo ammattimainen käyttöliittymä, jossa on työkalupaneelit ja esikatselualue. Toteuta perussäädöt, kuten kirkkaus, kontrasti, kylläisyys ja terävyys. Lisää suodattimia, joissa on mukautettavat parametrit ja esikatselu. Sisällytä rajaus ja koon muuttaminen kuvasuhteen säätöjen avulla. Toteuta tekstin päällekkäisyys fontin valinnan ja muotoilun avulla. Lisää muotojen piirtotyökaluja, joissa on täyttö- ja viivoitusvaihtoehdot. Sisältää kerrosten hallinnan sekoitustilojen avulla. Tukee kuvien vientiä useissa eri muodoissa ja laaduissa. Luo responsiivinen muotoilu, joka mukautuu näytön koon mukaan. Lisää peruutus/toistotoiminnot ja historiatilat.",@f,"HTML,CSS,JavaScript"
Sudoku-peli,"Luo interaktiivinen Sudoku-peli HTML5:n, CSS3:n ja JavaScriptin avulla. Rakenna puhdas, helppokäyttöinen pelilauta, jossa on intuitiiviset hallintalaitteet. Toteuta vaikeustasot sopivilla palapelien luomisalgoritmeilla. Lisää vihjejärjestelmä, jossa on useita avustustasoja. Sisällytä muistiinpanotoiminto ehdokasnumeroita varten. Toteuta ajastin, jossa on tauko ja jatkaminen. Lisää virheiden tarkistus ja valinnainen välitön palaute. Sisältää pelin tallentamisen ja lataamisen useilla lähtö- ja saapumisajoilla. Luo tilastoja voitoista, ajoista ja vaikeustasoista. Lisää tulostettavien palapelien luominen. Toteuta näppäimistöohjaukset ja saavutettavuusominaisuudet.",@f,"HTML,CSS,JavaScript"
URL-osoitteen lyhentäjä,"Rakenna URL-osoitteiden lyhentämispalvelun etusivu HTML5:n, CSS3:n, JavaScriptin ja backend API:n avulla. Luo siisti käyttöliittymä, jossa on näkyvä syöttökenttä. Toteuta URL-osoitteen validointi ja puhdistus. Lisää QR-koodien luominen lyhennetyille URL-osoitteille. Sisällytä mukaan klikkausten seuranta ja analytiikka-mittaristo. Tukea mukautettujen aliasien luomista URL-osoitteille. Toteuta linkkien voimassaolon päättymispäivämäärän asettaminen. Lisää salasanasuojausvaihtoehto arkaluonteisille URL-osoitteille. Sisällytä kopiointitoiminto liitetaululle vahvistuksen kanssa. Luo responsiivinen muotoilu kaikille laitteille. Lisää lyhennettyjen URL-osoitteiden historia haku- ja suodatusominaisuuksilla.",@f,"HTML,CSS,JavaScript,API"
Shakki-peli,"Kehitä monipuolinen shakkipeli HTML5:n, CSS3:n ja JavaScriptin avulla. Luo realistinen shakkilauta, jossa on asianmukainen nappuloiden renderöinti. Toteuta tavalliset shakkisäännöt siirtojen validoinnilla. Lisää siirtojen korostus ja nappuloiden liikeanimaatio. Sisällytä pelikello, jossa on useita ajanhallintavaihtoehtoja. Toteuta merkintöjen tallennus PGN-viennin avulla. Lisää pelianalyysi ja siirtojen arviointi. Sisältää tekoälyvastustajan säädettävillä vaikeustasoilla. Tuki verkkopelille WebRTC:n tai WebSocketin avulla. Lisää avauskirjan ja yleisten kuvioiden tunnistuksen. Turnaustilan toteuttaminen suluissa ja pisteytyksellä.",@f,"HTML,CSS,JavaScript"
PDF-katseluohjelma,"Luo verkkopohjainen PDF-katseluohjelma HTML5:n, CSS3:n, JavaScriptin ja PDF.js:n avulla. Rakenna siisti käyttöliittymä, jossa on intuitiiviset navigointiohjaimet. Toteuta sivujen navigointi pikkukuvilla ja ääriviivojen näkymällä. Lisää tekstihaku ja tulosten korostus. Sisällytä zoomaus- ja leveys-/korkeussäädöt. Toteuta tekstin valinta ja kopiointi. Lisää merkintätyökalut, kuten korostukset, muistiinpanot ja piirtäminen. Tuetaan asiakirjan kiertämistä ja esitystilaa. Sisältää tulostustoiminnon ja vaihtoehtoja. Luo responsiivinen muotoilu, joka toimii kaikilla laitteilla. Lisää asiakirjan ominaisuudet ja metatietojen näyttö.",@f,"HTML,CSS,JavaScript"
Kirjoitusnopeustesti,"Rakenna interaktiivinen kirjoittamisen nopeustesti HTML5:n, CSS3:n ja JavaScriptin avulla. Luo siisti käyttöliittymä, jossa on tekstinäyttö ja syöttöalue. Toteuta WPM- ja tarkkuuslaskenta reaaliaikaisesti. Lisää vaikeustasoja sopivalla tekstinvalinnalla. Sisällytä virheiden korostus ja korjausten seuranta. Toteuta testihistoria ja suorituskykykaaviot. Lisää mukautetun testin luominen tekstin tuonnin avulla. Sisältää virtuaalinäppäimistön näytön, joka näyttää näppäinpainallukset. Tukee useita kieliä ja näppäimistöasetteluja. Luo responsiivinen muotoilu kaikille laitteille. Lisää kilpailutila ja pistetaulukot.",@f,"HTML,CSS,JavaScript"
